TOP 5:
word:   consideration; TF: 0.000114; IDF: 0.241162; TF-IDF: 0.000027
word:       steadfast; TF: 0.000076; IDF: 0.847298; TF-IDF: 0.000064
word:          fellow; TF: 0.000057; IDF: 0.154151; TF-IDF: 0.000009
word:            aims; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:            were; TF: 0.003668; IDF: 0.074108; TF-IDF: 0.000272
word:         rightly; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:        clearing; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:        castello; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:            west; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:       accustoms; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:        quarters; TF: 0.000190; IDF: 0.336472; TF-IDF: 0.000064
word:       dominions; TF: 0.000133; IDF: 1.945910; TF-IDF: 0.000259
word:          exiled; TF: 0.000114; IDF: 1.540445; TF-IDF: 0.000176
word:          astute; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:      consequent; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:          exiles; TF: 0.000095; IDF: 0.241162; TF-IDF: 0.000023
word:        accorded; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:           yield; TF: 0.000190; IDF: 0.336472; TF-IDF: 0.000064
word:     comprehends; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:       donations; TF: 0.000304; IDF: 0.074108; TF-IDF: 0.000023
word:         bondmen; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:          united; TF: 0.000342; IDF: 0.074108; TF-IDF: 0.000025
word:      dedication; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:      conditions; TF: 0.000114; IDF: 0.336472; TF-IDF: 0.000038
word:          recall; TF: 0.000133; IDF: 0.441833; TF-IDF: 0.000059
word:        inquired; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:        inquirer; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:        inquires; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:       reflected; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:          vision; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:       powerless; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:        monument; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:       delivered; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:       statement; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
word:       consuming; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:       practised; TF: 0.000076; IDF: 0.847298; TF-IDF: 0.000064
word:          rimini; TF: 0.000038; IDF: 1.945910; TF-IDF: 0.000074
word:          riders; TF: 0.000038; IDF: 0.693147; TF-IDF: 0.000026
word:         managed; TF: 0.000057; IDF: 0.241162; TF-IDF: 0.000014
word:      newsletter; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:       corrupted; TF: 0.000076; IDF: 1.540445; TF-IDF: 0.000117
word:       corrupter; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:      statements; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:         virtues; TF: 0.000095; IDF: 0.559616; TF-IDF: 0.000053
word:         adorned; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:         renamed; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:    boccansacchi; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:        included; TF: 0.000095; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000076; IDF: 0.074108; TF-IDF: 0.000006
word:           birth; TF: 0.000095; IDF: 0.441833; TF-IDF: 0.000042
word:         bianchi; TF: 0.000038; IDF: 1.029619; TF-IDF: 0.000039
word:       ourselves; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:       inquiries; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:     battlefield; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:           prato; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:       montelupo; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:       commenced; TF: 0.000095; IDF: 1.029619; TF-IDF: 0.000098
word:          period; TF: 0.000076; IDF: 0.559616; TF-IDF: 0.000043
word:       hesitated; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:        valdarno; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:       hesitates; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:          untrue; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:         billets; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:      possessors; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:      skirmishes; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:         bounded; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:         adopted; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:           onset; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:    dispossessed; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:          demand; TF: 0.000076; IDF: 0.074108; TF-IDF: 0.000006
word:          lessen; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:          lesser; TF: 0.000057; IDF: 1.252763; TF-IDF: 0.000071
word:        temporal; TF: 0.000114; IDF: 1.945910; TF-IDF: 0.000222
word:           raise; TF: 0.000076; IDF: 0.241162; TF-IDF: 0.000018
word:        examined; TF: 0.000038; IDF: 0.336472; TF-IDF: 0.000013
word:         protect; TF: 0.000076; IDF: 0.074108; TF-IDF: 0.000006
word:         charles; TF: 0.000304; IDF: 0.441833; TF-IDF: 0.000134
word:           games; TF: 0.000038; IDF: 1.029619; TF-IDF: 0.000039
word:        guidance; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:  reconciliation; TF: 0.000114; IDF: 0.693147; TF-IDF: 0.000079
word:         seizing; TF: 0.000114; IDF: 0.693147; TF-IDF: 0.000079
word:    construction; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:         falling; TF: 0.000019; IDF: 0.154151; TF-IDF: 0.000003
word:         economy; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:          resort; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:       reference; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:       observing; TF: 0.000057; IDF: 0.441833; TF-IDF: 0.000025
word:          biting; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:        daybreak; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:     illustrious; TF: 0.000114; IDF: 0.693147; TF-IDF: 0.000079
word:         average; TF: 0.000038; IDF: 0.847298; TF-IDF: 0.000032
word:           boast; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:         bowshot; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:      invariably; TF: 0.000019; IDF: 0.241162; TF-IDF: 0.000005
word:        courtesy; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:        giuliano; TF: 0.000133; IDF: 2.639057; TF-IDF: 0.000351
word:          ethics; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:        strength; TF: 0.000266; IDF: 0.074108; TF-IDF: 0.000020
word:          knight; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:       somewhere; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:         protest; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:    constitution; TF: 0.000038; IDF: 1.252763; TF-IDF: 0.000048
word:        provoked; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:      assignable; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:         diverge; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:    advantageous; TF: 0.000133; IDF: 1.540445; TF-IDF: 0.000205
word:           ruled; TF: 0.000209; IDF: 1.252763; TF-IDF: 0.000262
word:       flatterer; TF: 0.000038; IDF: 2.639057; TF-IDF: 0.000100
word:           rules; TF: 0.000285; IDF: 0.074108; TF-IDF: 0.000021
word:        involved; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
word:        insomuch; TF: 0.000038; IDF: 1.029619; TF-IDF: 0.000039
word:         majesty; TF: 0.000114; IDF: 0.847298; TF-IDF: 0.000097
word:        complete; TF: 0.000095; IDF: 0.154151; TF-IDF: 0.000015
word:      sanguinary; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:         opinion; TF: 0.000209; IDF: 0.074108; TF-IDF: 0.000015
word:         outrage; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:      narrowness; TF: 0.000019; IDF: 2.639057; TF-IDF: 0.000050
word:           about; TF: 0.000608; IDF: 0.074108; TF-IDF: 0.000045
word:           above; TF: 0.000969; IDF: 0.074108; TF-IDF: 0.000072
word:      proficient; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:            http; TF: 0.000152; IDF: 0.074108; TF-IDF: 0.000011
word:         impulse; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
