TOP 5:
word:        respects; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000022
word:            nail; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:         courage; TF: 0.000106; IDF: 0.167054; TF-IDF: 0.000018
word:        interval; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000022
word:      sculptured; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:        absolute; TF: 0.000021; IDF: 0.485508; TF-IDF: 0.000010
word:      discussing; TF: 0.000007; IDF: 0.773190; TF-IDF: 0.000005
word:         cottage; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000017
word:           vivid; TF: 0.000021; IDF: 0.773190; TF-IDF: 0.000016
word:          embers; TF: 0.000021; IDF: 0.773190; TF-IDF: 0.000016
word:          nights; TF: 0.000078; IDF: 0.619039; TF-IDF: 0.000048
word:          oddest; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:      discussion; TF: 0.000007; IDF: 0.485508; TF-IDF: 0.000003
word:        headgear; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:          giving; TF: 0.000092; IDF: 0.080043; TF-IDF: 0.000007
word:      performing; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:      boundaries; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:         english; TF: 0.000346; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000035; IDF: 0.619039; TF-IDF: 0.000022
word:            aids; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:         unrobed; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:            name; TF: 0.000742; IDF: 0.080043; TF-IDF: 0.000059
word:         surname; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:         revenue; TF: 0.000007; IDF: 0.080043; TF-IDF: 0.000001
word:       seclusion; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:        champing; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:       virtually; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:       confusion; TF: 0.000042; IDF: 0.367725; TF-IDF: 0.000016
word:        promised; TF: 0.000007; IDF: 0.262364; TF-IDF: 0.000002
word:        promises; TF: 0.000021; IDF: 0.619039; TF-IDF: 0.000013
word:          common; TF: 0.000163; IDF: 0.167054; TF-IDF: 0.000027
word:         retinue; TF: 0.000007; IDF: 0.955511; TF-IDF: 0.000007
word:         turnkey; TF: 0.000071; IDF: 1.871802; TF-IDF: 0.000132
word:            well; TF: 0.001265; IDF: 0.080043; TF-IDF: 0.000101
word:    unencumbered; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:         remarks; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:        tethered; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:      cautionary; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
word:          answer; TF: 0.000368; IDF: 0.080043; TF-IDF: 0.000029
word:          aiming; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000014
word:            went; TF: 0.000770; IDF: 0.080043; TF-IDF: 0.000062
word:         unknown; TF: 0.000148; IDF: 0.167054; TF-IDF: 0.000025
word:           fared; TF: 0.000021; IDF: 1.466337; TF-IDF: 0.000031
word:     unswallowed; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:         fainter; TF: 0.000021; IDF: 0.955511; TF-IDF: 0.000020
