TOP 5:
word:         archway; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       invisible; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            week; TF: 0.000120; IDF: 0.693147; TF-IDF: 0.000083
word:           patch; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            weep; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:          commit; TF: 0.000108; IDF: 0.693147; TF-IDF: 0.000075
word:         courage; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:         emperor; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        absolute; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:      discussing; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        brougham; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:           vivid; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:          nights; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:      discussion; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        egotists; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          giving; TF: 0.000132; IDF: 0.693147; TF-IDF: 0.000091
word:      performing; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:     unsatisfied; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         english; TF: 0.000192; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          eldest; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         mexican; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            name; TF: 0.000575; IDF: 0.693147; TF-IDF: 0.000398
word:          fibres; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         revenue; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:     photographs; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        drifting; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        promised; TF: 0.000108; IDF: 0.693147; TF-IDF: 0.000075
word:        promises; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          common; TF: 0.000192; IDF: 0.693147; TF-IDF: 0.000133
word:        champion; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      consummate; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            well; TF: 0.000802; IDF: 0.693147; TF-IDF: 0.000556
word:          inmost; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          guests; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
word:   rechristening; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           farce; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          circus; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          answer; TF: 0.000383; IDF: 0.693147; TF-IDF: 0.000266
word:           lithe; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        plucking; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          aiming; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         cheques; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            went; TF: 0.000755; IDF: 0.693147; TF-IDF: 0.000523
word:          degree; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       drunkards; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           fares; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         fainted; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         oratory; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
