TOP 5:
word:           think; TF: 0.001742; IDF: 0.074108; TF-IDF: 0.000129
word:            hurt; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:      transcribe; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:            hush; TF: 0.000099; IDF: 0.559616; TF-IDF: 0.000055
word:            joys; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:            what; TF: 0.004668; IDF: 0.074108; TF-IDF: 0.000346
word:         corrupt; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           frame; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:        diamonds; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:            when; TF: 0.002630; IDF: 0.074108; TF-IDF: 0.000195
word:            alas; TF: 0.000131; IDF: 0.336472; TF-IDF: 0.000044
word:           shook; TF: 0.000296; IDF: 0.074108; TF-IDF: 0.000022
word:           newby; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          toffee; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:        thatched; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:          comply; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:           shore; TF: 0.000131; IDF: 0.241162; TF-IDF: 0.000032
word:      executions; TF: 0.000066; IDF: 1.252763; TF-IDF: 0.000082
word:         declare; TF: 0.000066; IDF: 0.154151; TF-IDF: 0.000010
word:           short; TF: 0.000131; IDF: 0.074108; TF-IDF: 0.000010
word:         licking; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:            undo; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:          candle; TF: 0.000099; IDF: 0.441833; TF-IDF: 0.000044
word:        frighten; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:         feeling; TF: 0.000230; IDF: 0.074108; TF-IDF: 0.000017
word:            star; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:            stay; TF: 0.000164; IDF: 0.154151; TF-IDF: 0.000025
word:          behind; TF: 0.000427; IDF: 0.074108; TF-IDF: 0.000032
word:         chapter; TF: 0.000394; IDF: 0.154151; TF-IDF: 0.000061
word:            whom; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:        violates; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:         pinched; TF: 0.000066; IDF: 0.441833; TF-IDF: 0.000029
word:           among; TF: 0.000394; IDF: 0.074108; TF-IDF: 0.000029
word:          blasts; TF: 0.000066; IDF: 1.945910; TF-IDF: 0.000128
word:            also; TF: 0.000131; IDF: 0.074108; TF-IDF: 0.000010
word:          escape; TF: 0.000131; IDF: 0.154151; TF-IDF: 0.000020
word:          before; TF: 0.001315; IDF: 0.074108; TF-IDF: 0.000097
word:          joined; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:          rather; TF: 0.000822; IDF: 0.074108; TF-IDF: 0.000061
word:        appealed; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:        graceful; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:      throughout; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:         pretend; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            stop; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:         obliged; TF: 0.000099; IDF: 0.336472; TF-IDF: 0.000033
word:            each; TF: 0.000296; IDF: 0.074108; TF-IDF: 0.000022
word:      dreadfully; TF: 0.000197; IDF: 0.693147; TF-IDF: 0.000137
word:          waving; TF: 0.000164; IDF: 0.693147; TF-IDF: 0.000114
word:         general; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:            near; TF: 0.000493; IDF: 0.074108; TF-IDF: 0.000037
word:            neat; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:      unpleasant; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:            neck; TF: 0.000230; IDF: 0.241162; TF-IDF: 0.000055
word:          tasted; TF: 0.000099; IDF: 0.559616; TF-IDF: 0.000055
word:            need; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:       housemaid; TF: 0.000033; IDF: 1.945910; TF-IDF: 0.000064
word:          tastes; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:      recognised; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:         alarmed; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            wide; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:         thanked; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          tucked; TF: 0.000099; IDF: 0.559616; TF-IDF: 0.000055
word:      schoolroom; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:            wife; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:     generations; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:       butterfly; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:          feared; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:    distributing; TF: 0.000230; IDF: 0.074108; TF-IDF: 0.000017
word:         learned; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:    distribution; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:            ears; TF: 0.000164; IDF: 0.154151; TF-IDF: 0.000025
word:            wild; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:            will; TF: 0.001315; IDF: 0.074108; TF-IDF: 0.000097
word:            easy; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:     unsolicited; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:            eats; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:            wind; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:            wine; TF: 0.000066; IDF: 0.441833; TF-IDF: 0.000029
word:            wink; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:           ready; TF: 0.000263; IDF: 0.074108; TF-IDF: 0.000019
word:            such; TF: 0.001545; IDF: 0.074108; TF-IDF: 0.000115
word:            nest; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:           voice; TF: 0.001578; IDF: 0.154151; TF-IDF: 0.000243
word:            suet; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:          useful; TF: 0.000066; IDF: 0.241162; TF-IDF: 0.000016
word:           sleep; TF: 0.000197; IDF: 0.154151; TF-IDF: 0.000030
word:          locked; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:          elbows; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:            wise; TF: 0.000066; IDF: 0.154151; TF-IDF: 0.000010
word:            wish; TF: 0.000723; IDF: 0.074108; TF-IDF: 0.000054
word:            with; TF: 0.007495; IDF: 0.000000; TF-IDF: 0.000000
word:            wits; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:            next; TF: 0.001085; IDF: 0.074108; TF-IDF: 0.000080
word:           scale; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            suit; TF: 0.000099; IDF: 0.154151; TF-IDF: 0.000015
word:           scaly; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:      millennium; TF: 0.000033; IDF: 1.945910; TF-IDF: 0.000064
word:          slates; TF: 0.000263; IDF: 1.945910; TF-IDF: 0.000512
word:      complained; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:         violent; TF: 0.000066; IDF: 0.441833; TF-IDF: 0.000029
word:         curious; TF: 0.000625; IDF: 0.241162; TF-IDF: 0.000151
word:            sure; TF: 0.000789; IDF: 0.154151; TF-IDF: 0.000122
word:           touch; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:         chimney; TF: 0.000197; IDF: 0.441833; TF-IDF: 0.000087
word:         granted; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           globe; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:          length; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          future; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:            chin; TF: 0.000230; IDF: 0.241162; TF-IDF: 0.000055
word:          called; TF: 0.000493; IDF: 0.074108; TF-IDF: 0.000037
word:         couples; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:        entrance; TF: 0.000033; IDF: 0.154151; TF-IDF: 0.000005
word:         journey; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:            chop; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:         receipt; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:        property; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:       sensation; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:      compressed; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           table; TF: 0.000592; IDF: 0.154151; TF-IDF: 0.000091
word:         receive; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:            upon; TF: 0.000920; IDF: 0.074108; TF-IDF: 0.000068
word:         watched; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:          rabbit; TF: 0.001677; IDF: 0.559616; TF-IDF: 0.000938
word:           flung; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:        sixpence; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:        gloomily; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:          temper; TF: 0.000164; IDF: 0.336472; TF-IDF: 0.000055
word:          taller; TF: 0.000066; IDF: 0.441833; TF-IDF: 0.000029
word:      remarkable; TF: 0.000066; IDF: 0.154151; TF-IDF: 0.000010
word:           pence; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:            pace; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:            pack; TF: 0.000164; IDF: 0.441833; TF-IDF: 0.000073
word:            year; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:       beginning; TF: 0.000493; IDF: 0.074108; TF-IDF: 0.000037
word:           crust; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:            page; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:          really; TF: 0.000427; IDF: 0.074108; TF-IDF: 0.000032
