TOP 5:
word:       initiated; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:       wondering; TF: 0.000055; IDF: 0.262364; TF-IDF: 0.000015
word:          spoken; TF: 0.000072; IDF: 0.167054; TF-IDF: 0.000012
word:       represent; TF: 0.000003; IDF: 0.485508; TF-IDF: 0.000001
word:          spokes; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:           drill; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:   uninterrupted; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:    interference; TF: 0.000017; IDF: 0.955511; TF-IDF: 0.000016
word:         roubles; TF: 0.000124; IDF: 1.871802; TF-IDF: 0.000233
word:           soupe; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:       obedience; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:        indicate; TF: 0.000006; IDF: 0.080043; TF-IDF: 0.000000
word:     prominently; TF: 0.000006; IDF: 0.080043; TF-IDF: 0.000000
word:         manhood; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000013
word:        unloosed; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:     undoubtedly; TF: 0.000019; IDF: 0.619039; TF-IDF: 0.000012
word:           drink; TF: 0.000127; IDF: 0.080043; TF-IDF: 0.000010
word:      preferring; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          string; TF: 0.000025; IDF: 0.773190; TF-IDF: 0.000019
word:       governing; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:   compassionate; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:        trembled; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         ceasing; TF: 0.000022; IDF: 1.871802; TF-IDF: 0.000041
word:         dealing; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:          refuse; TF: 0.000064; IDF: 0.262364; TF-IDF: 0.000017
word:       penknives; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:        cheerful; TF: 0.000058; IDF: 0.485508; TF-IDF: 0.000028
word:         secrets; TF: 0.000014; IDF: 0.262364; TF-IDF: 0.000004
word:           crois; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          burden; TF: 0.000017; IDF: 0.619039; TF-IDF: 0.000010
word:          refute; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000026
word:      enchanting; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:           south; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
