TOP 5:
word:            week; TF: 0.000157; IDF: 0.167054; TF-IDF: 0.000026
word:           patch; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:          voices; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:            nail; TF: 0.000050; IDF: 0.955511; TF-IDF: 0.000047
word:         courage; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000006
word:        plunkety; TF: 0.000017; IDF: 2.564949; TF-IDF: 0.000042
word:         emperor; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:   oncomfortable; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          embers; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:          nights; TF: 0.000215; IDF: 0.619039; TF-IDF: 0.000133
word:          giving; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:      performing; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:         english; TF: 0.000025; IDF: 0.000000; TF-IDF: 0.000000
word:          eldest; TF: 0.000017; IDF: 0.955511; TF-IDF: 0.000016
word:            name; TF: 0.000381; IDF: 0.080043; TF-IDF: 0.000030
word:         revenue; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:         righted; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:        drifting; TF: 0.000050; IDF: 0.773190; TF-IDF: 0.000038
word:        promised; TF: 0.000025; IDF: 0.262364; TF-IDF: 0.000007
word:          common; TF: 0.000058; IDF: 0.167054; TF-IDF: 0.000010
word:            well; TF: 0.003453; IDF: 0.080043; TF-IDF: 0.000276
word:        thrashed; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:          circus; TF: 0.000091; IDF: 0.773190; TF-IDF: 0.000070
word:          answer; TF: 0.000257; IDF: 0.080043; TF-IDF: 0.000021
word:          aiming; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:            went; TF: 0.002442; IDF: 0.080043; TF-IDF: 0.000196
word:        ferryman; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           slabs; TF: 0.000017; IDF: 1.466337; TF-IDF: 0.000024
word:            nary; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:         unknown; TF: 0.000017; IDF: 0.167054; TF-IDF: 0.000003
word:         fainted; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:          bureau; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:           abner; TF: 0.000041; IDF: 2.564949; TF-IDF: 0.000106
word:   consideration; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:       gethering; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        edgeways; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          fellow; TF: 0.000099; IDF: 0.167054; TF-IDF: 0.000017
word:          fourth; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:            were; TF: 0.000075; IDF: 0.080043; TF-IDF: 0.000006
word:        swinging; TF: 0.000025; IDF: 0.367725; TF-IDF: 0.000009
word:         rightly; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:        clearing; TF: 0.000017; IDF: 0.619039; TF-IDF: 0.000010
word:           birds; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:         nowhere; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         grunted; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:            west; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:        quarters; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:          exiled; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        grumbled; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:         propped; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:          bugged; TF: 0.000017; IDF: 1.871802; TF-IDF: 0.000031
word:           yield; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:       donations; TF: 0.000124; IDF: 0.080043; TF-IDF: 0.000010
word:            airs; TF: 0.000017; IDF: 0.485508; TF-IDF: 0.000008
word:            airy; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:          united; TF: 0.000083; IDF: 0.080043; TF-IDF: 0.000007
word:           farms; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:         runaway; TF: 0.000232; IDF: 0.262364; TF-IDF: 0.000061
word:       breakfast; TF: 0.000298; IDF: 0.262364; TF-IDF: 0.000078
word:          lonely; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:          yawled; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:     hospitality; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:           slant; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:        scarcity; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:       effusions; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           slaps; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:         hugging; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        proctors; TF: 0.000017; IDF: 2.564949; TF-IDF: 0.000042
