TOP 5:
word:          fowler; TF: 0.000046; IDF: 1.871802; TF-IDF: 0.000086
word:          tilted; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:        ushering; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:         kingdom; TF: 0.000018; IDF: 0.619039; TF-IDF: 0.000011
word:     interpreted; TF: 0.000009; IDF: 0.080043; TF-IDF: 0.000001
word:     established; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:    bewilderment; TF: 0.000018; IDF: 1.178655; TF-IDF: 0.000022
word:            spun; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:          alicia; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:           crowd; TF: 0.000064; IDF: 0.262364; TF-IDF: 0.000017
word:           crown; TF: 0.000055; IDF: 0.485508; TF-IDF: 0.000027
word:            weak; TF: 0.000046; IDF: 0.080043; TF-IDF: 0.000004
word:            wear; TF: 0.000092; IDF: 0.262364; TF-IDF: 0.000024
word:          peeped; TF: 0.000193; IDF: 0.262364; TF-IDF: 0.000051
word:       political; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:          velvet; TF: 0.000018; IDF: 0.619039; TF-IDF: 0.000011
word:     plantagenet; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:         propose; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:           topic; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:         receded; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:           minds; TF: 0.000028; IDF: 0.262364; TF-IDF: 0.000007
word:          doings; TF: 0.000018; IDF: 0.955511; TF-IDF: 0.000018
word:           brush; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:         scratch; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:          preach; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:          circle; TF: 0.000083; IDF: 0.080043; TF-IDF: 0.000007
word:         gaunter; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:          saying; TF: 0.000092; IDF: 0.080043; TF-IDF: 0.000007
word:           mines; TF: 0.000018; IDF: 1.871802; TF-IDF: 0.000034
word:           brute; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000021
word:          feeble; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:        spouting; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:        survived; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:      resistless; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:            weed; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:       invisible; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:            week; TF: 0.000248; IDF: 0.167054; TF-IDF: 0.000041
word:           patch; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:          voices; TF: 0.000037; IDF: 0.262364; TF-IDF: 0.000010
word:        respects; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000021
word:            nail; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:         courage; TF: 0.000009; IDF: 0.167054; TF-IDF: 0.000002
word:           hafiz; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:        absolute; TF: 0.000138; IDF: 0.485508; TF-IDF: 0.000067
word:        brougham; TF: 0.000037; IDF: 1.871802; TF-IDF: 0.000069
word:           vivid; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:        highroad; TF: 0.000037; IDF: 0.773190; TF-IDF: 0.000028
word:          nights; TF: 0.000046; IDF: 0.619039; TF-IDF: 0.000028
word:           jones; TF: 0.000101; IDF: 0.955511; TF-IDF: 0.000096
word:        headgear; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:          giving; TF: 0.000046; IDF: 0.080043; TF-IDF: 0.000004
word:      performing; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:         english; TF: 0.000092; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000092; IDF: 0.619039; TF-IDF: 0.000057
word:           gales; TF: 0.000018; IDF: 1.871802; TF-IDF: 0.000034
word:            name; TF: 0.000578; IDF: 0.080043; TF-IDF: 0.000046
word:      tendencies; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:         revenue; TF: 0.000009; IDF: 0.080043; TF-IDF: 0.000001
word:        imbedded; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:     photography; TF: 0.000028; IDF: 1.871802; TF-IDF: 0.000052
word:        edgeware; TF: 0.000018; IDF: 2.564949; TF-IDF: 0.000047
word:           paths; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:        drifting; TF: 0.000018; IDF: 0.773190; TF-IDF: 0.000014
word:       confusion; TF: 0.000018; IDF: 0.367725; TF-IDF: 0.000007
word:        promised; TF: 0.000046; IDF: 0.262364; TF-IDF: 0.000012
word:        promises; TF: 0.000037; IDF: 0.619039; TF-IDF: 0.000023
word:          common; TF: 0.000128; IDF: 0.167054; TF-IDF: 0.000021
word:            well; TF: 0.001844; IDF: 0.080043; TF-IDF: 0.000148
word:     competition; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:        ordnance; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:         remarks; TF: 0.000055; IDF: 0.485508; TF-IDF: 0.000027
word:         relaxed; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:       miniature; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:          answer; TF: 0.000138; IDF: 0.080043; TF-IDF: 0.000011
word:           lithe; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:        plucking; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:            went; TF: 0.000624; IDF: 0.080043; TF-IDF: 0.000050
word:           minor; TF: 0.000028; IDF: 1.466337; TF-IDF: 0.000040
word:           slabs; TF: 0.000018; IDF: 1.466337; TF-IDF: 0.000027
word:         unknown; TF: 0.000073; IDF: 0.167054; TF-IDF: 0.000012
word:        survivor; TF: 0.000018; IDF: 1.871802; TF-IDF: 0.000034
word:         fainted; TF: 0.000055; IDF: 0.773190; TF-IDF: 0.000043
word:          bureau; TF: 0.000101; IDF: 0.773190; TF-IDF: 0.000078
word:       vagueness; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:   consideration; TF: 0.000055; IDF: 0.262364; TF-IDF: 0.000014
word:       vacancies; TF: 0.000018; IDF: 2.564949; TF-IDF: 0.000047
word:      incredible; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:          ebbing; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:          fellow; TF: 0.000312; IDF: 0.167054; TF-IDF: 0.000052
word:    guardianship; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:          fourth; TF: 0.000046; IDF: 0.262364; TF-IDF: 0.000012
word:            were; TF: 0.003202; IDF: 0.080043; TF-IDF: 0.000256
word:        swinging; TF: 0.000055; IDF: 0.367725; TF-IDF: 0.000020
word:         rightly; TF: 0.000009; IDF: 0.262364; TF-IDF: 0.000002
word:        clearing; TF: 0.000083; IDF: 0.619039; TF-IDF: 0.000051
word:           birds; TF: 0.000046; IDF: 0.367725; TF-IDF: 0.000017
word:          christ; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:      staircases; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:            west; TF: 0.000119; IDF: 0.080043; TF-IDF: 0.000010
word:        quarters; TF: 0.000046; IDF: 0.367725; TF-IDF: 0.000017
word:          golden; TF: 0.000046; IDF: 0.773190; TF-IDF: 0.000035
word:        woodcock; TF: 0.000018; IDF: 2.564949; TF-IDF: 0.000047
word:          astute; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:         soldier; TF: 0.000009; IDF: 0.262364; TF-IDF: 0.000002
word:           local; TF: 0.000046; IDF: 0.955511; TF-IDF: 0.000044
word:        exacting; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:       donations; TF: 0.000138; IDF: 0.080043; TF-IDF: 0.000011
word:      forecastle; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:       postmarks; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:     alterations; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:         faintly; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:          united; TF: 0.000119; IDF: 0.080043; TF-IDF: 0.000010
word:           farms; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:         eagerly; TF: 0.000037; IDF: 0.262364; TF-IDF: 0.000010
word:       breakfast; TF: 0.000211; IDF: 0.262364; TF-IDF: 0.000055
word:          lonely; TF: 0.000055; IDF: 0.367725; TF-IDF: 0.000020
word:        absolved; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:      conditions; TF: 0.000037; IDF: 0.367725; TF-IDF: 0.000013
word:          recall; TF: 0.000046; IDF: 0.485508; TF-IDF: 0.000022
word:        inquired; TF: 0.000028; IDF: 0.262364; TF-IDF: 0.000007
word:        inquirer; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:         hopkins; TF: 0.000018; IDF: 1.871802; TF-IDF: 0.000034
word:           slang; TF: 0.000018; IDF: 1.178655; TF-IDF: 0.000022
word:          thrill; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:     hospitality; TF: 0.000009; IDF: 0.262364; TF-IDF: 0.000002
word:      conception; TF: 0.000018; IDF: 0.619039; TF-IDF: 0.000011
word:        clenched; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:        referred; TF: 0.000064; IDF: 0.619039; TF-IDF: 0.000040
word:       statement; TF: 0.000110; IDF: 0.367725; TF-IDF: 0.000040
