TOP 5:
word:     hospitality; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:        referred; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:       sculpture; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:       powerless; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word: straightforward; TF: 0.000047; IDF: 1.029619; TF-IDF: 0.000048
word:       statement; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:      crossroads; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:       practised; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:       practises; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:      department; TF: 0.000078; IDF: 1.252763; TF-IDF: 0.000097
word:         warrant; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:         managed; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:         manager; TF: 0.000047; IDF: 0.693147; TF-IDF: 0.000032
word:         manages; TF: 0.000062; IDF: 1.945910; TF-IDF: 0.000121
word:      newsletter; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:         kipling; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:          visits; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:      statements; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:     appearances; TF: 0.000031; IDF: 0.693147; TF-IDF: 0.000022
word:         virtues; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:         renamed; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:      definitely; TF: 0.000031; IDF: 0.693147; TF-IDF: 0.000022
word:        included; TF: 0.000155; IDF: 0.000000; TF-IDF: 0.000000
word:       mothering; TF: 0.000047; IDF: 2.639057; TF-IDF: 0.000123
word:           erect; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        includes; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:           birth; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:       ourselves; TF: 0.000140; IDF: 0.074108; TF-IDF: 0.000010
word:           rainy; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:   disadvantages; TF: 0.000047; IDF: 0.847298; TF-IDF: 0.000039
word:     essentially; TF: 0.000031; IDF: 1.252763; TF-IDF: 0.000039
word:      eventually; TF: 0.000031; IDF: 1.029619; TF-IDF: 0.000032
word:      aristocrat; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:  eccentricities; TF: 0.000031; IDF: 1.540445; TF-IDF: 0.000048
word:          demand; TF: 0.000248; IDF: 0.074108; TF-IDF: 0.000018
word:      decorating; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:          lessen; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:          lesser; TF: 0.000031; IDF: 1.252763; TF-IDF: 0.000039
word:           raise; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:      decoration; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:         beggars; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:         protect; TF: 0.000047; IDF: 0.074108; TF-IDF: 0.000003
word:    constructing; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:           games; TF: 0.000062; IDF: 1.029619; TF-IDF: 0.000064
word:  reconciliation; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         wanders; TF: 0.000047; IDF: 1.945910; TF-IDF: 0.000091
word:      electrical; TF: 0.000031; IDF: 2.639057; TF-IDF: 0.000082
word:    construction; TF: 0.000078; IDF: 0.559616; TF-IDF: 0.000043
word:       disliking; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           gears; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:          surely; TF: 0.000047; IDF: 0.336472; TF-IDF: 0.000016
word:         economy; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:       reference; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:       observing; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:          mirror; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:   approximation; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:         charlie; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:        suffices; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:         average; TF: 0.000729; IDF: 0.847298; TF-IDF: 0.000618
word:          averse; TF: 0.000047; IDF: 1.029619; TF-IDF: 0.000048
word:        magnates; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:     adaptations; TF: 0.000031; IDF: 0.559616; TF-IDF: 0.000017
word:        fabulous; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:          surest; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:          lesson; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:       literally; TF: 0.000047; IDF: 1.540445; TF-IDF: 0.000072
word:         rearing; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:      proportion; TF: 0.000093; IDF: 0.847298; TF-IDF: 0.000079
word:     exploration; TF: 0.000248; IDF: 0.241162; TF-IDF: 0.000060
word:        machines; TF: 0.000047; IDF: 1.029619; TF-IDF: 0.000048
word:        courtesy; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:        strength; TF: 0.000279; IDF: 0.074108; TF-IDF: 0.000021
word:      settlement; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:       reticence; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:       somewhere; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:          sleeps; TF: 0.000031; IDF: 0.847298; TF-IDF: 0.000026
word:           desks; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:     superseding; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:      monotonous; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:      capitalize; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:    advantageous; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:            html; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:           ruled; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:           rules; TF: 0.000155; IDF: 0.074108; TF-IDF: 0.000011
word:        utilized; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:        involved; TF: 0.000062; IDF: 0.336472; TF-IDF: 0.000021
word:        complete; TF: 0.000093; IDF: 0.154151; TF-IDF: 0.000014
word:        involves; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:           wires; TF: 0.000078; IDF: 2.639057; TF-IDF: 0.000205
word:      bookkeeper; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:       endearing; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:     exceedingly; TF: 0.000031; IDF: 0.559616; TF-IDF: 0.000017
word:          waking; TF: 0.000047; IDF: 0.559616; TF-IDF: 0.000026
word:         opinion; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:        tenacity; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:           about; TF: 0.001194; IDF: 0.074108; TF-IDF: 0.000089
word:     chronically; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           above; TF: 0.000217; IDF: 0.074108; TF-IDF: 0.000016
word:        gardener; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:    housekeeping; TF: 0.000031; IDF: 0.559616; TF-IDF: 0.000017
word:            http; TF: 0.000155; IDF: 0.074108; TF-IDF: 0.000011
word:         impulse; TF: 0.000031; IDF: 0.336472; TF-IDF: 0.000010
word:       tenderest; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:     caressingly; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:   companionship; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:        formerly; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:          bibble; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:         smaller; TF: 0.000093; IDF: 0.336472; TF-IDF: 0.000031
word:     departments; TF: 0.000047; IDF: 1.252763; TF-IDF: 0.000058
word:      percentage; TF: 0.000078; IDF: 2.639057; TF-IDF: 0.000205
word:   comparatively; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:         insists; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:          entire; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:           paved; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:            lies; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:            lieu; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:            life; TF: 0.001908; IDF: 0.074108; TF-IDF: 0.000141
word:         exhaust; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:         charmer; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:         vanilla; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:            lift; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:    disappearing; TF: 0.000031; IDF: 0.847298; TF-IDF: 0.000026
word:           never; TF: 0.001489; IDF: 0.074108; TF-IDF: 0.000110
word:          entity; TF: 0.000047; IDF: 0.074108; TF-IDF: 0.000003
word:       matrimony; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:     combination; TF: 0.000512; IDF: 0.847298; TF-IDF: 0.000434
word:            jobs; TF: 0.000047; IDF: 1.252763; TF-IDF: 0.000058
word:        awaiting; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:           gangs; TF: 0.000062; IDF: 0.693147; TF-IDF: 0.000043
word:           lived; TF: 0.000124; IDF: 0.074108; TF-IDF: 0.000009
word:       appetites; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:           liver; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:           lives; TF: 0.000574; IDF: 0.074108; TF-IDF: 0.000043
word:           fatal; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:       mountains; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:            yard; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:            cent; TF: 0.000171; IDF: 0.559616; TF-IDF: 0.000095
word:            like; TF: 0.002202; IDF: 0.074108; TF-IDF: 0.000163
word:            akin; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:         replace; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:      multiplied; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:   changeability; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:            lime; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:            line; TF: 0.000419; IDF: 0.074108; TF-IDF: 0.000031
word:            john; TF: 0.000047; IDF: 0.336472; TF-IDF: 0.000016
word:         implied; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:          longer; TF: 0.000264; IDF: 0.074108; TF-IDF: 0.000020
word:        overcome; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:          gaiety; TF: 0.000031; IDF: 0.336472; TF-IDF: 0.000010
word:       strenuous; TF: 0.000233; IDF: 1.252763; TF-IDF: 0.000291
word:            join; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:     permanently; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:       reversion; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:            lion; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:          spongy; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:        barriers; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        warranty; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:         certain; TF: 0.000605; IDF: 0.074108; TF-IDF: 0.000045
word:            lips; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:      reflecting; TF: 0.000047; IDF: 0.847298; TF-IDF: 0.000039
word:            joke; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:          thighs; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:  concentratedly; TF: 0.000047; IDF: 2.639057; TF-IDF: 0.000123
word:        succeeds; TF: 0.000171; IDF: 0.847298; TF-IDF: 0.000145
