TOP 5:
word:           fares; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         fainted; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:         oratory; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:            wept; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:   consideration; TF: 0.000012; IDF: 0.262364; TF-IDF: 0.000003
word:       moralists; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:       atonement; TF: 0.000060; IDF: 0.485508; TF-IDF: 0.000029
word:   spiritualizes; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:          fellow; TF: 0.000263; IDF: 0.167054; TF-IDF: 0.000044
word:          fourth; TF: 0.000012; IDF: 0.262364; TF-IDF: 0.000003
word:            aims; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:            were; TF: 0.003006; IDF: 0.080043; TF-IDF: 0.000241
word:        strained; TF: 0.000048; IDF: 0.955511; TF-IDF: 0.000046
word:        swinging; TF: 0.000036; IDF: 0.367725; TF-IDF: 0.000013
word:           birds; TF: 0.000132; IDF: 0.367725; TF-IDF: 0.000048
word:          christ; TF: 0.000048; IDF: 0.955511; TF-IDF: 0.000046
word:     reputations; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:            west; TF: 0.000048; IDF: 0.080043; TF-IDF: 0.000004
word:        quarters; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:       octagonal; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:     crucifixion; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:          golden; TF: 0.000108; IDF: 0.773190; TF-IDF: 0.000083
word:          thrift; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:        grumbled; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:           slain; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
word:           patti; TF: 0.000048; IDF: 1.466337; TF-IDF: 0.000070
word:           yield; TF: 0.000048; IDF: 0.367725; TF-IDF: 0.000018
word:          welled; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:          quiver; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:       donations; TF: 0.000180; IDF: 0.080043; TF-IDF: 0.000014
word:           organ; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:          united; TF: 0.000120; IDF: 0.080043; TF-IDF: 0.000010
word:         eagerly; TF: 0.000012; IDF: 0.262364; TF-IDF: 0.000003
word:       breakfast; TF: 0.000048; IDF: 0.262364; TF-IDF: 0.000013
word:          lonely; TF: 0.000072; IDF: 0.367725; TF-IDF: 0.000026
word:      conditions; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:          recall; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:        crucible; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:        inquired; TF: 0.000048; IDF: 0.262364; TF-IDF: 0.000013
word:         textile; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:       reflected; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:           sacks; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:          thrill; TF: 0.000048; IDF: 0.619039; TF-IDF: 0.000030
word:          peries; TF: 0.000024; IDF: 0.262364; TF-IDF: 0.000006
word:      conception; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:        clenched; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:       sculpture; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:       statement; TF: 0.000012; IDF: 0.367725; TF-IDF: 0.000004
word:          rimini; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:      sputtering; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         manager; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:      newsletter; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:      statements; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:     appearances; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:         virtues; TF: 0.000084; IDF: 0.619039; TF-IDF: 0.000052
word:         renamed; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:        included; TF: 0.000036; IDF: 0.000000; TF-IDF: 0.000000
word:           erect; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:        includes; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:           birth; TF: 0.000036; IDF: 0.485508; TF-IDF: 0.000017
word:          rubbed; TF: 0.000012; IDF: 0.367725; TF-IDF: 0.000004
word:       demeanour; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:       ourselves; TF: 0.000132; IDF: 0.080043; TF-IDF: 0.000011
word:           prate; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:         puzzled; TF: 0.000048; IDF: 0.485508; TF-IDF: 0.000023
word:          period; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:       hesitated; TF: 0.000120; IDF: 0.485508; TF-IDF: 0.000058
word:          untrue; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:       depresses; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         lodging; TF: 0.000048; IDF: 0.773190; TF-IDF: 0.000037
word:        geniuses; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:         bounded; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:         adopted; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:          demand; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:           raise; TF: 0.000036; IDF: 0.262364; TF-IDF: 0.000009
word:        examined; TF: 0.000096; IDF: 0.367725; TF-IDF: 0.000035
word:      decoration; TF: 0.000036; IDF: 0.955511; TF-IDF: 0.000034
word:         protect; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:         charles; TF: 0.000048; IDF: 0.485508; TF-IDF: 0.000023
word:           wrung; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:       chocolate; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:          bezoar; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:       commonest; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         seizing; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:          surely; TF: 0.000156; IDF: 0.367725; TF-IDF: 0.000057
word:         falling; TF: 0.000024; IDF: 0.167054; TF-IDF: 0.000004
word:       preceding; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:          mirror; TF: 0.000084; IDF: 0.773190; TF-IDF: 0.000065
word:         protege; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:      laboratory; TF: 0.000108; IDF: 0.485508; TF-IDF: 0.000052
word:      obsequious; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:           board; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:         rickety; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:      decorative; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:     winckelmann; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:    transparency; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:        wardrobe; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:           gamme; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:      iridescent; TF: 0.000024; IDF: 2.564949; TF-IDF: 0.000061
word:        dramatic; TF: 0.000048; IDF: 1.178655; TF-IDF: 0.000056
word:          lesson; TF: 0.000036; IDF: 0.619039; TF-IDF: 0.000022
word:      invariably; TF: 0.000024; IDF: 0.262364; TF-IDF: 0.000006
word:          ethics; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:      frontleted; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:           pause; TF: 0.000084; IDF: 0.367725; TF-IDF: 0.000031
word:        strength; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:      abstracted; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         enslave; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:       somewhere; TF: 0.000096; IDF: 0.080043; TF-IDF: 0.000008
word:          jermyn; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:        tartuffe; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         shrieks; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:      monotonous; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:        provoked; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:     incoherence; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         parched; TF: 0.000036; IDF: 1.871802; TF-IDF: 0.000067
word:     incarnation; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:            html; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:           sadly; TF: 0.000060; IDF: 0.485508; TF-IDF: 0.000029
word:       flattered; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:     stateliness; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:           rules; TF: 0.000048; IDF: 0.080043; TF-IDF: 0.000004
word:        complete; TF: 0.000048; IDF: 0.167054; TF-IDF: 0.000008
word:          sleeve; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:       lohengrin; TF: 0.000024; IDF: 2.564949; TF-IDF: 0.000061
word:        vermouth; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:    incorrigible; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:       distorted; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:           torch; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:       chiselled; TF: 0.000036; IDF: 1.871802; TF-IDF: 0.000067
word:         marbles; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
word:        cordelia; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:         opinion; TF: 0.000060; IDF: 0.080043; TF-IDF: 0.000005
word:     preparation; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:          pepper; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:           about; TF: 0.002767; IDF: 0.080043; TF-IDF: 0.000221
word:           above; TF: 0.000036; IDF: 0.080043; TF-IDF: 0.000003
word:        gardener; TF: 0.000036; IDF: 0.955511; TF-IDF: 0.000034
word:          daubed; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:            http; TF: 0.000096; IDF: 0.080043; TF-IDF: 0.000008
word:         impulse; TF: 0.000048; IDF: 0.367725; TF-IDF: 0.000018
word:          peered; TF: 0.000048; IDF: 0.773190; TF-IDF: 0.000037
word:    convulsively; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:       specimens; TF: 0.000036; IDF: 1.178655; TF-IDF: 0.000042
word:         bravest; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
