TOP 5:
word:           press; TF: 0.000039; IDF: 0.367725; TF-IDF: 0.000014
word:          beside; TF: 0.000196; IDF: 0.619039; TF-IDF: 0.000121
word:         granted; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:          pushed; TF: 0.000470; IDF: 0.262364; TF-IDF: 0.000123
word:         coughed; TF: 0.000039; IDF: 0.955511; TF-IDF: 0.000037
word:          length; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:     appropriate; TF: 0.000039; IDF: 0.955511; TF-IDF: 0.000037
word:       wallpaper; TF: 0.000039; IDF: 2.564949; TF-IDF: 0.000100
word:          future; TF: 0.000274; IDF: 0.080043; TF-IDF: 0.000022
word:            chin; TF: 0.000078; IDF: 0.262364; TF-IDF: 0.000021
word:      complaints; TF: 0.000039; IDF: 0.619039; TF-IDF: 0.000024
word:          called; TF: 0.000548; IDF: 0.080043; TF-IDF: 0.000044
word:      reproaches; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:        properly; TF: 0.000118; IDF: 0.367725; TF-IDF: 0.000043
word:            anew; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:        entrance; TF: 0.000157; IDF: 0.167054; TF-IDF: 0.000026
word:      attributed; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:         elastic; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:         mumbled; TF: 0.000039; IDF: 1.178655; TF-IDF: 0.000046
word:          rolled; TF: 0.000118; IDF: 0.485508; TF-IDF: 0.000057
word:          amazed; TF: 0.000157; IDF: 0.773190; TF-IDF: 0.000121
word:       affection; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:         receipt; TF: 0.000118; IDF: 0.080043; TF-IDF: 0.000009
word:           admit; TF: 0.000118; IDF: 0.485508; TF-IDF: 0.000057
word:         prevail; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:           fluid; TF: 0.000039; IDF: 1.466337; TF-IDF: 0.000057
word:        property; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:         denuded; TF: 0.000039; IDF: 1.466337; TF-IDF: 0.000057
word:            anna; TF: 0.000078; IDF: 1.466337; TF-IDF: 0.000115
word:          strong; TF: 0.000157; IDF: 0.167054; TF-IDF: 0.000026
word:      compressed; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:           table; TF: 0.000744; IDF: 0.167054; TF-IDF: 0.000124
word:         receive; TF: 0.000196; IDF: 0.080043; TF-IDF: 0.000016
word:          object; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000007
word:           drops; TF: 0.000078; IDF: 0.485508; TF-IDF: 0.000038
word:            upon; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:         watched; TF: 0.000118; IDF: 0.080043; TF-IDF: 0.000009
word:      remarkable; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000007
word:           drove; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000007
word:            pack; TF: 0.000039; IDF: 0.485508; TF-IDF: 0.000019
word:            year; TF: 0.000235; IDF: 0.080043; TF-IDF: 0.000019
word:       beginning; TF: 0.000118; IDF: 0.080043; TF-IDF: 0.000009
word:         harshly; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:        continue; TF: 0.000118; IDF: 0.367725; TF-IDF: 0.000043
word:        climbing; TF: 0.000039; IDF: 0.619039; TF-IDF: 0.000024
word:          rested; TF: 0.000078; IDF: 0.262364; TF-IDF: 0.000021
word:            page; TF: 0.000118; IDF: 0.080043; TF-IDF: 0.000009
word:          really; TF: 0.000901; IDF: 0.080043; TF-IDF: 0.000072
word:         limited; TF: 0.000196; IDF: 0.080043; TF-IDF: 0.000016
word:            paid; TF: 0.000274; IDF: 0.080043; TF-IDF: 0.000022
word:            pain; TF: 0.000431; IDF: 0.485508; TF-IDF: 0.000209
word:            pair; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000007
word:   uncomfortable; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:            echo; TF: 0.000039; IDF: 0.619039; TF-IDF: 0.000024
word:          gossip; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:          peeved; TF: 0.000039; IDF: 2.564949; TF-IDF: 0.000100
word:            pale; TF: 0.000039; IDF: 0.262364; TF-IDF: 0.000010
word:         hurried; TF: 0.000313; IDF: 0.167054; TF-IDF: 0.000052
word:            pane; TF: 0.000078; IDF: 0.955511; TF-IDF: 0.000075
word:     mississippi; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:         chewing; TF: 0.000039; IDF: 0.773190; TF-IDF: 0.000030
word:            part; TF: 0.000431; IDF: 0.080043; TF-IDF: 0.000034
word:          calmed; TF: 0.000078; IDF: 0.955511; TF-IDF: 0.000075
word:          calmer; TF: 0.000039; IDF: 1.466337; TF-IDF: 0.000057
word:         arduous; TF: 0.000039; IDF: 1.466337; TF-IDF: 0.000057
word:      explaining; TF: 0.000118; IDF: 0.619039; TF-IDF: 0.000073
word:            past; TF: 0.000235; IDF: 0.080043; TF-IDF: 0.000019
word:         putting; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
