TOP 5:
word:        previous; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:         clamour; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:      appearance; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:           swamp; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:            live; TF: 0.000263; IDF: 0.080043; TF-IDF: 0.000021
word:          yawned; TF: 0.000066; IDF: 0.619039; TF-IDF: 0.000041
word:        balanced; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:           shock; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            hung; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:           shoes; TF: 0.000230; IDF: 0.262364; TF-IDF: 0.000060
word:           thing; TF: 0.001611; IDF: 0.080043; TF-IDF: 0.000129
word:           think; TF: 0.001742; IDF: 0.080043; TF-IDF: 0.000139
word:            hurt; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:      transcribe; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:            hush; TF: 0.000099; IDF: 0.619039; TF-IDF: 0.000061
word:            joys; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:            what; TF: 0.004668; IDF: 0.080043; TF-IDF: 0.000374
word:         corrupt; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           frame; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:        diamonds; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:            when; TF: 0.002630; IDF: 0.080043; TF-IDF: 0.000211
word:            alas; TF: 0.000131; IDF: 0.367725; TF-IDF: 0.000048
word:           shook; TF: 0.000296; IDF: 0.080043; TF-IDF: 0.000024
word:           newby; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          toffee; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:        thatched; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:          comply; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:           shore; TF: 0.000131; IDF: 0.262364; TF-IDF: 0.000035
word:      executions; TF: 0.000066; IDF: 1.178655; TF-IDF: 0.000077
word:         declare; TF: 0.000066; IDF: 0.167054; TF-IDF: 0.000011
word:           short; TF: 0.000131; IDF: 0.080043; TF-IDF: 0.000011
word:         licking; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:            undo; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:          candle; TF: 0.000099; IDF: 0.485508; TF-IDF: 0.000048
word:        frighten; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:         feeling; TF: 0.000230; IDF: 0.080043; TF-IDF: 0.000018
word:            star; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:            stay; TF: 0.000164; IDF: 0.167054; TF-IDF: 0.000027
word:          behind; TF: 0.000427; IDF: 0.080043; TF-IDF: 0.000034
word:         chapter; TF: 0.000394; IDF: 0.167054; TF-IDF: 0.000066
word:            whom; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:        violates; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:         pinched; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:           among; TF: 0.000394; IDF: 0.080043; TF-IDF: 0.000032
word:          blasts; TF: 0.000066; IDF: 1.871802; TF-IDF: 0.000123
word:            also; TF: 0.000131; IDF: 0.080043; TF-IDF: 0.000011
word:          escape; TF: 0.000131; IDF: 0.167054; TF-IDF: 0.000022
word:          before; TF: 0.001315; IDF: 0.080043; TF-IDF: 0.000105
word:          joined; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:          rather; TF: 0.000822; IDF: 0.080043; TF-IDF: 0.000066
word:        appealed; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:        graceful; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:      throughout; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:         pretend; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            stop; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:         obliged; TF: 0.000099; IDF: 0.367725; TF-IDF: 0.000036
word:            each; TF: 0.000296; IDF: 0.080043; TF-IDF: 0.000024
word:      dreadfully; TF: 0.000197; IDF: 0.773190; TF-IDF: 0.000153
word:          waving; TF: 0.000164; IDF: 0.773190; TF-IDF: 0.000127
word:         general; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:            near; TF: 0.000493; IDF: 0.080043; TF-IDF: 0.000039
word:            neat; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:      unpleasant; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:            neck; TF: 0.000230; IDF: 0.262364; TF-IDF: 0.000060
word:          tasted; TF: 0.000099; IDF: 0.619039; TF-IDF: 0.000061
word:            need; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:       housemaid; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:          tastes; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:      recognised; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:         alarmed; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            wide; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:         thanked; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          tucked; TF: 0.000099; IDF: 0.619039; TF-IDF: 0.000061
word:      schoolroom; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:            wife; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:     generations; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:       butterfly; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:          feared; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:    distributing; TF: 0.000230; IDF: 0.080043; TF-IDF: 0.000018
word:         learned; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:    distribution; TF: 0.000197; IDF: 0.080043; TF-IDF: 0.000016
word:            ears; TF: 0.000164; IDF: 0.167054; TF-IDF: 0.000027
word:            wild; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:            will; TF: 0.001315; IDF: 0.080043; TF-IDF: 0.000105
word:            easy; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:     unsolicited; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
word:            eats; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:            wind; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:            wine; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:            wink; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:           ready; TF: 0.000263; IDF: 0.080043; TF-IDF: 0.000021
word:            such; TF: 0.001545; IDF: 0.080043; TF-IDF: 0.000124
word:            nest; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:           voice; TF: 0.001578; IDF: 0.167054; TF-IDF: 0.000264
