TOP 5:
word:        survived; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:            week; TF: 0.000230; IDF: 0.167054; TF-IDF: 0.000038
word:            weep; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:        respects; TF: 0.000048; IDF: 0.773190; TF-IDF: 0.000037
word:         courage; TF: 0.000095; IDF: 0.167054; TF-IDF: 0.000016
word:        interval; TF: 0.000032; IDF: 0.773190; TF-IDF: 0.000025
word:        absolute; TF: 0.000032; IDF: 0.485508; TF-IDF: 0.000015
word:  inconsiderable; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         allayed; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           jones; TF: 0.000040; IDF: 0.955511; TF-IDF: 0.000038
word:      discussion; TF: 0.000040; IDF: 0.485508; TF-IDF: 0.000019
word:          giving; TF: 0.000199; IDF: 0.080043; TF-IDF: 0.000016
word:      performing; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:         english; TF: 0.000008; IDF: 0.000000; TF-IDF: 0.000000
word:          eldest; TF: 0.000159; IDF: 0.955511; TF-IDF: 0.000152
word:            name; TF: 0.000270; IDF: 0.080043; TF-IDF: 0.000022
word:         revenue; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:       seclusion; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:       confusion; TF: 0.000087; IDF: 0.367725; TF-IDF: 0.000032
word:        promised; TF: 0.000167; IDF: 0.262364; TF-IDF: 0.000044
word:        promises; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:          common; TF: 0.000151; IDF: 0.167054; TF-IDF: 0.000025
word:            well; TF: 0.001779; IDF: 0.080043; TF-IDF: 0.000142
word:     competition; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:          guests; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:    overthrowing; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         remarks; TF: 0.000064; IDF: 0.485508; TF-IDF: 0.000031
word:          answer; TF: 0.000516; IDF: 0.080043; TF-IDF: 0.000041
word:            went; TF: 0.000532; IDF: 0.080043; TF-IDF: 0.000043
word:      vouchsafed; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:         unknown; TF: 0.000262; IDF: 0.167054; TF-IDF: 0.000044
word:        survivor; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         fainter; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:        checking; TF: 0.000016; IDF: 1.178655; TF-IDF: 0.000019
word:   consideration; TF: 0.000111; IDF: 0.262364; TF-IDF: 0.000029
word:      incredible; TF: 0.000040; IDF: 0.485508; TF-IDF: 0.000019
word:       steadfast; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          fellow; TF: 0.000071; IDF: 0.167054; TF-IDF: 0.000012
word:    guardianship; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
word:          fourth; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:            were; TF: 0.004488; IDF: 0.080043; TF-IDF: 0.000359
word:        decorums; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:         rightly; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:        clearing; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:           birds; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:         nowhere; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:      abhorrence; TF: 0.000048; IDF: 1.871802; TF-IDF: 0.000089
word:            west; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:        quarters; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:       heartfelt; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         consign; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:      consequent; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:           yield; TF: 0.000032; IDF: 0.367725; TF-IDF: 0.000012
word:           local; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:     comprehends; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:       donations; TF: 0.000119; IDF: 0.080043; TF-IDF: 0.000010
word:            airs; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:         talents; TF: 0.000040; IDF: 0.773190; TF-IDF: 0.000031
word:     alterations; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:         faintly; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:          united; TF: 0.000135; IDF: 0.080043; TF-IDF: 0.000011
word:      wretchedly; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
